
Note: Compatibility modes selected: hs a


Circuit: * sar-logic-timing-gates-tie @ ss_125c_3.63v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
clk                                          0
tie_start                                 3.63
tie_mode                                     0
xtie._030_                         3.24585e-08
xtie.eng3                                 3.63
vdd_gate                                  3.63
xtie._031_                                3.63
xtie._032_                                3.63
xtie.ph_2                           1.8644e-08
xtie._033_                                3.63
xtie.ph_0                           1.8644e-08
xtie._034_                                3.63
xtie.ph_1                           1.8644e-08
xtie._035_                                3.63
xtie.ph_3                           1.8644e-08
xtie._036_                         3.24585e-08
xtie.eng4                                 3.63
xtie._037_                         3.24585e-08
xtie.eng5                                 3.63
xtie._038_                         3.24585e-08
xtie.eng6                                 3.63
xtie._039_                         3.24585e-08
xtie.eng7                                 3.63
xtie._040_                         3.24585e-08
xtie.eng8                                 3.63
xtie._041_                         3.24585e-08
xtie.eng9                                 3.63
xtie._042_                         3.24585e-08
xtie.eng2                                 3.63
xtie._043_                                3.63
xtie.ph_12                          1.8644e-08
xtie._044_                         3.24585e-08
xtie.eng1                                 3.63
xtie._045_                                3.63
xtie.ph_13                          1.8644e-08
xtie._046_                                3.63
xtie.ph_11                          1.8644e-08
xtie._047_                                3.63
xtie.ph_10                          1.8644e-08
xtie._048_                                3.63
xtie.ph_9                           1.8644e-08
xtie._049_                                3.63
xtie.ph_8                           1.8644e-08
xtie._050_                                3.63
xtie.ph_7                           1.8644e-08
xtie._051_                                3.63
xtie.ph_6                           1.8644e-08
xtie._052_                                3.63
xtie.ph_5                           1.8644e-08
xtie._053_                                3.63
xtie.ph_4                           1.8644e-08
xtie._054_                                3.63
xtie.ph_14                          1.8644e-08
tie_sel_lo_n_4p                    6.24547e-08
xtie.q3                                   3.63
xtie.x_090_.net_0                      1.13911
tie_sel_hi_n_4n                    3.80192e-08
xtie.x_091_.net_1                      3.61892
xtie.x_091_.net_0                      1.13903
xtie.x_092_.net_1                  5.55527e-08
xtie.x_092_.net_0                  1.11105e-07
tie_samp_tp_n                      1.66658e-07
xtie.x_093_.z_neg                      3.62999
tie_sel_in_n                        1.8644e-08
xtie.x_093_.net_0                         3.63
xtie.x_093_.net_1                         3.63
xtie.x_093_.net_2                         3.63
tie_rel_n_4p                       2.74859e-08
xtie.x_094_.net_0                         3.63
xtie.x_095_.net_0                      2.75224
tie_rel_n_4n                              3.63
xtie.x_095_.net_1                         3.63
xtie.x_096_.net_0                  8.30198e-08
xtie.x_096_.z_neg                   1.6604e-07
tie_sel_hi_n_4p                           3.63
xtie.x_097_.net_0                  8.30198e-08
xtie.q4                                   3.63
xtie.x_097_.z_neg                   1.6604e-07
tie_sel_hi_n_8p                           3.63
xtie.x_098_.net_0                  1.00731e-07
xtie.x_098_.z_neg                         3.63
tie_sel_lo_n_8n                    1.87608e-08
tie_sel_lo_n_8p                    2.74859e-08
xtie.x_099_.net_0                         3.63
tie_sel_hi_n_8n                    1.66869e-08
xtie.x_100_.net_1                         3.63
xtie.x_100_.net_0                      3.61728
tie_rel_n_8p                       2.74859e-08
xtie.x_101_.net_0                         3.63
xtie.x_102_.net_0                   1.0732e-08
tie_rel_n_8n                              3.63
xtie.x_102_.net_1                         3.63
xtie.x_103_.net_0                  8.30198e-08
xtie.q5                                   3.63
xtie.x_103_.z_neg                   1.6604e-07
tie_sel_hi_n_16p                          3.63
xtie.x_104_.net_0                  1.00731e-07
xtie.x_104_.z_neg                         3.63
tie_sel_lo_n_16n                   1.87608e-08
tie_sel_lo_n_16p                   2.74859e-08
xtie.x_105_.net_0                         3.63
tie_sel_hi_n_16n                   1.66869e-08
xtie.x_106_.net_1                         3.63
xtie.x_106_.net_0                      3.61728
tie_rel_n_16p                      2.74859e-08
xtie.x_107_.net_0                         3.63
xtie.x_108_.net_0                   1.0732e-08
tie_rel_n_16n                             3.63
xtie.x_108_.net_1                         3.63
xtie.x_109_.net_0                  8.30198e-08
xtie.q6                                   3.63
xtie.x_109_.z_neg                   1.6604e-07
tie_sel_hi_n_32p                          3.63
xtie.x_110_.net_0                  1.00731e-07
xtie.x_110_.z_neg                         3.63
tie_sel_lo_n_32n                   1.87608e-08
tie_sel_lo_n_32p                   2.74859e-08
xtie.x_111_.net_0                         3.63
tie_sel_hi_n_32n                   1.66869e-08
