
Note: Compatibility modes selected: hs a


Circuit: * sar-logic-timing-gates-tie @ tt_27c_2.97v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
clk                                          0
tie_start                                 2.97
tie_mode                                     0
xtie._030_                                2.97
xtie.eng3                          1.03209e-08
vdd_gate                                  2.97
xtie._031_                                2.97
xtie._032_                                2.97
xtie.ph_2                          1.03209e-08
xtie._033_                                2.97
xtie.ph_0                          1.03209e-08
xtie._034_                                2.97
xtie.ph_1                          1.03209e-08
xtie._035_                                2.97
xtie.ph_3                          1.03209e-08
xtie._036_                                2.97
xtie.eng4                          1.03209e-08
xtie._037_                                2.97
xtie.eng5                          1.03209e-08
xtie._038_                                2.97
xtie.eng6                          1.03209e-08
xtie._039_                                2.97
xtie.eng7                          1.03209e-08
xtie._040_                                2.97
xtie.eng8                          1.03209e-08
xtie._041_                                2.97
xtie.eng9                          1.03209e-08
xtie._042_                                2.97
xtie.eng2                          1.03209e-08
xtie._043_                                2.97
xtie.ph_12                         1.03209e-08
xtie._044_                                2.97
xtie.eng1                          1.03209e-08
xtie._045_                                2.97
xtie.ph_13                         1.03209e-08
xtie._046_                                2.97
xtie.ph_11                         1.03209e-08
xtie._047_                                2.97
xtie.ph_10                         1.03209e-08
xtie._048_                                2.97
xtie.ph_9                          1.03209e-08
xtie._049_                                2.97
xtie.ph_8                          1.03209e-08
xtie._050_                                2.97
xtie.ph_7                          1.03209e-08
xtie._051_                                2.97
xtie.ph_6                          1.03209e-08
xtie._052_                                2.97
xtie.ph_5                          1.03209e-08
xtie._053_                                2.97
xtie.ph_4                          1.03209e-08
xtie._054_                                2.97
xtie.ph_14                         1.03209e-08
tie_sel_lo_n_4p                    1.48642e-08
xtie.q3                            1.03209e-08
xtie.x_090_.net_0                         2.97
tie_sel_hi_n_4n                    8.92562e-09
xtie.x_091_.net_1                         2.97
xtie.x_091_.net_0                      2.96985
xtie.x_092_.net_1                  3.07996e-08
xtie.x_092_.net_0                  6.15992e-08
tie_samp_tp_n                      9.23988e-08
xtie.x_093_.z_neg                         2.97
tie_sel_in_n                       1.03209e-08
xtie.x_093_.net_0                         2.97
xtie.x_093_.net_1                         2.97
xtie.x_093_.net_2                         2.97
tie_rel_n_4p                              2.97
xtie.x_094_.net_0                         2.97
xtie.x_095_.net_0                    0.0128123
tie_rel_n_4n                              2.97
xtie.x_095_.net_1                         2.97
xtie.x_096_.net_0                    0.0294669
xtie.x_096_.z_neg                         2.97
tie_sel_hi_n_4p                    1.03825e-08
xtie.x_097_.net_0                    0.0294669
xtie.q4                            1.03209e-08
xtie.x_097_.z_neg                         2.97
tie_sel_hi_n_8p                    1.03825e-08
xtie.x_098_.net_0                    0.0294669
xtie.x_098_.z_neg                         2.97
tie_sel_lo_n_8n                    1.03825e-08
tie_sel_lo_n_8p                    3.29994e-08
xtie.x_099_.net_0                      1.01913
tie_sel_hi_n_8n                    8.92562e-09
xtie.x_100_.net_1                      2.96992
xtie.x_100_.net_0                      2.96992
tie_rel_n_8p                              2.97
xtie.x_101_.net_0                         2.97
xtie.x_102_.net_0                    0.0128123
tie_rel_n_8n                              2.97
xtie.x_102_.net_1                         2.97
xtie.x_103_.net_0                    0.0294669
xtie.q5                            1.03209e-08
xtie.x_103_.z_neg                         2.97
tie_sel_hi_n_16p                   1.03825e-08
xtie.x_104_.net_0                    0.0294669
xtie.x_104_.z_neg                         2.97
tie_sel_lo_n_16n                   1.03825e-08
tie_sel_lo_n_16p                   3.29994e-08
xtie.x_105_.net_0                      1.01913
tie_sel_hi_n_16n                   8.92562e-09
xtie.x_106_.net_1                      2.96992
xtie.x_106_.net_0                      2.96992
tie_rel_n_16p                             2.97
xtie.x_107_.net_0                         2.97
xtie.x_108_.net_0                    0.0128123
tie_rel_n_16n                             2.97
xtie.x_108_.net_1                         2.97
xtie.x_109_.net_0                    0.0294669
xtie.q6                            1.03209e-08
xtie.x_109_.z_neg                         2.97
tie_sel_hi_n_32p                   1.03825e-08
xtie.x_110_.net_0                    0.0294669
xtie.x_110_.z_neg                         2.97
tie_sel_lo_n_32n                   1.03825e-08
tie_sel_lo_n_32p                   3.29994e-08
xtie.x_111_.net_0                      1.01913
tie_sel_hi_n_32n                   8.92562e-09
xtie.x_112_.net_1                      2.96992
