
Note: Compatibility modes selected: hs a


Circuit: * sar-logic-timing-gates-tie @ ff_-40c_3.30v -- generated by sim/harness, do not edit

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
clk                                          0
tie_start                                  3.3
tie_mode                                     0
xtie._030_                                 3.3
xtie.eng3                          6.83529e-09
vdd_gate                                   3.3
xtie._031_                                 3.3
xtie._032_                                 3.3
xtie.ph_2                          6.83529e-09
xtie._033_                                 3.3
xtie.ph_0                          6.83529e-09
xtie._034_                                 3.3
xtie.ph_1                          6.83529e-09
xtie._035_                                 3.3
xtie.ph_3                          6.83529e-09
xtie._036_                                 3.3
xtie.eng4                          6.83529e-09
xtie._037_                                 3.3
xtie.eng5                          6.83529e-09
xtie._038_                                 3.3
xtie.eng6                          6.83529e-09
xtie._039_                                 3.3
xtie.eng7                          6.83529e-09
xtie._040_                                 3.3
xtie.eng8                          6.83529e-09
xtie._041_                                 3.3
xtie.eng9                          6.83529e-09
xtie._042_                                 3.3
xtie.eng2                          6.83529e-09
xtie._043_                                 3.3
xtie.ph_12                         6.83529e-09
xtie._044_                                 3.3
xtie.eng1                          6.83529e-09
xtie._045_                                 3.3
xtie.ph_13                         6.83529e-09
xtie._046_                                 3.3
xtie.ph_11                         6.83529e-09
xtie._047_                                 3.3
xtie.ph_10                         6.83529e-09
xtie._048_                                 3.3
xtie.ph_9                          6.83529e-09
xtie._049_                                 3.3
xtie.ph_8                          6.83529e-09
xtie._050_                                 3.3
xtie.ph_7                          6.83529e-09
xtie._051_                                 3.3
xtie.ph_6                          6.83529e-09
xtie._052_                                 3.3
xtie.ph_5                          6.83529e-09
xtie._053_                                 3.3
xtie.ph_4                          6.83529e-09
xtie._054_                                 3.3
xtie.ph_14                         6.83529e-09
tie_sel_lo_n_4p                    9.63865e-09
xtie.q3                            6.83529e-09
xtie.x_090_.net_0                          3.3
tie_sel_hi_n_4n                    5.72011e-09
xtie.x_091_.net_1                          3.3
xtie.x_091_.net_0                          3.3
xtie.x_092_.net_1                  2.03893e-08
xtie.x_092_.net_0                  4.07785e-08
tie_samp_tp_n                      6.11678e-08
xtie.x_093_.z_neg                          3.3
tie_sel_in_n                        6.8353e-09
xtie.x_093_.net_0                          3.3
xtie.x_093_.net_1                          3.3
xtie.x_093_.net_2                          3.3
tie_rel_n_4p                               3.3
xtie.x_094_.net_0                          3.3
xtie.x_095_.net_0                   0.00132048
tie_rel_n_4n                               3.3
xtie.x_095_.net_1                          3.3
xtie.x_096_.net_0                    0.0055944
xtie.x_096_.z_neg                          3.3
tie_sel_hi_n_4p                    6.87394e-09
xtie.x_097_.net_0                    0.0055944
xtie.q4                            6.83529e-09
xtie.x_097_.z_neg                          3.3
tie_sel_hi_n_8p                    6.87394e-09
xtie.x_098_.net_0                    0.0055944
xtie.x_098_.z_neg                          3.3
tie_sel_lo_n_8n                    6.87394e-09
tie_sel_lo_n_8p                    2.16318e-08
xtie.x_099_.net_0                      1.06749
tie_sel_hi_n_8n                    5.72011e-09
xtie.x_100_.net_1                          3.3
xtie.x_100_.net_0                          3.3
tie_rel_n_8p                               3.3
xtie.x_101_.net_0                          3.3
xtie.x_102_.net_0                   0.00132048
tie_rel_n_8n                               3.3
xtie.x_102_.net_1                          3.3
xtie.x_103_.net_0                    0.0055944
xtie.q5                            6.83529e-09
xtie.x_103_.z_neg                          3.3
tie_sel_hi_n_16p                   6.87394e-09
xtie.x_104_.net_0                    0.0055944
xtie.x_104_.z_neg                          3.3
tie_sel_lo_n_16n                   6.87394e-09
tie_sel_lo_n_16p                   2.16318e-08
xtie.x_105_.net_0                      1.06749
tie_sel_hi_n_16n                   5.72011e-09
xtie.x_106_.net_1                          3.3
xtie.x_106_.net_0                          3.3
tie_rel_n_16p                              3.3
xtie.x_107_.net_0                          3.3
xtie.x_108_.net_0                   0.00132048
tie_rel_n_16n                              3.3
xtie.x_108_.net_1                          3.3
xtie.x_109_.net_0                    0.0055944
xtie.q6                            6.83529e-09
xtie.x_109_.z_neg                          3.3
tie_sel_hi_n_32p                   6.87394e-09
xtie.x_110_.net_0                    0.0055944
xtie.x_110_.z_neg                          3.3
tie_sel_lo_n_32n                   6.87394e-09
tie_sel_lo_n_32p                   2.16318e-08
xtie.x_111_.net_0                      1.06749
tie_sel_hi_n_32n                   5.72011e-09
