
Note: Compatibility modes selected: hs a


Circuit: * sar-logic-timing-gates-tie @ tt_125c_3.30v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
clk                                          0
tie_start                                  3.3
tie_mode                                     0
xtie._030_                                 3.3
xtie.eng3                          1.65706e-08
vdd_gate                                   3.3
xtie._031_                                 3.3
xtie._032_                                 3.3
xtie.ph_2                          1.65706e-08
xtie._033_                                 3.3
xtie.ph_0                          1.65706e-08
xtie._034_                                 3.3
xtie.ph_1                          1.65706e-08
xtie._035_                          2.7692e-08
xtie.ph_3                                  3.3
xtie._036_                                 3.3
xtie.eng4                          1.65706e-08
xtie._037_                                 3.3
xtie.eng5                          1.65706e-08
xtie._038_                                 3.3
xtie.eng6                          1.65706e-08
xtie._039_                                 3.3
xtie.eng7                          1.65706e-08
xtie._040_                                 3.3
xtie.eng8                          1.65706e-08
xtie._041_                                 3.3
xtie.eng9                          1.65706e-08
xtie._042_                                 3.3
xtie.eng2                          1.65706e-08
xtie._043_                          2.7692e-08
xtie.ph_12                                 3.3
xtie._044_                                 3.3
xtie.eng1                          1.65706e-08
xtie._045_                          2.7692e-08
xtie.ph_13                                 3.3
xtie._046_                          2.7692e-08
xtie.ph_11                                 3.3
xtie._047_                          2.7692e-08
xtie.ph_10                                 3.3
xtie._048_                          2.7692e-08
xtie.ph_9                                  3.3
xtie._049_                          2.7692e-08
xtie.ph_8                                  3.3
xtie._050_                          2.7692e-08
xtie.ph_7                                  3.3
xtie._051_                          2.7692e-08
xtie.ph_6                                  3.3
xtie._052_                          2.7692e-08
xtie.ph_5                                  3.3
xtie._053_                                 3.3
xtie.ph_4                          1.65706e-08
xtie._054_                          2.7692e-08
xtie.ph_14                                 3.3
tie_sel_lo_n_4p                    1.07545e-08
xtie.q3                                    3.3
xtie.x_090_.net_0                      3.26735
tie_sel_hi_n_4n                      8.473e-09
xtie.x_091_.net_1                      3.28737
xtie.x_091_.net_0                      3.25928
xtie.x_092_.net_1                  4.84265e-08
xtie.x_092_.net_0                   9.6853e-08
tie_samp_tp_n                      1.45279e-07
xtie.x_093_.z_neg                  1.50667e-07
tie_sel_in_n                               3.3
xtie.x_093_.net_0                     0.977456
xtie.x_093_.net_1                      1.00539
xtie.x_093_.net_2                      1.01471
tie_rel_n_4p                       4.97386e-08
xtie.x_094_.net_0                     0.948984
xtie.x_095_.net_0                  4.50056e-08
tie_rel_n_4n                       9.07367e-08
xtie.x_095_.net_1                     0.937836
xtie.x_096_.net_0                  6.80056e-07
xtie.x_096_.z_neg                          3.3
tie_sel_hi_n_4p                    1.66615e-08
xtie.x_097_.net_0                      2.59174
xtie.q4                                    3.3
xtie.x_097_.z_neg                          3.3
tie_sel_hi_n_8p                    1.66615e-08
xtie.x_098_.net_0                    0.0666782
xtie.x_098_.z_neg                          3.3
tie_sel_lo_n_8n                    1.66615e-08
tie_sel_lo_n_8p                    1.07545e-08
xtie.x_099_.net_0                      3.26735
tie_sel_hi_n_8n                      8.473e-09
xtie.x_100_.net_1                      3.28737
xtie.x_100_.net_0                      3.25928
tie_rel_n_8p                       4.97386e-08
xtie.x_101_.net_0                     0.948984
xtie.x_102_.net_0                  4.50056e-08
tie_rel_n_8n                       9.07367e-08
xtie.x_102_.net_1                     0.937836
xtie.x_103_.net_0                      2.59174
xtie.q5                                    3.3
xtie.x_103_.z_neg                          3.3
tie_sel_hi_n_16p                   1.66615e-08
xtie.x_104_.net_0                    0.0666782
xtie.x_104_.z_neg                          3.3
tie_sel_lo_n_16n                   1.66615e-08
tie_sel_lo_n_16p                   1.07545e-08
xtie.x_105_.net_0                      3.26735
tie_sel_hi_n_16n                     8.473e-09
xtie.x_106_.net_1                      3.28737
xtie.x_106_.net_0                      3.25928
tie_rel_n_16p                      4.97386e-08
xtie.x_107_.net_0                     0.948984
xtie.x_108_.net_0                  4.50056e-08
tie_rel_n_16n                      9.07367e-08
xtie.x_108_.net_1                     0.937836
xtie.x_109_.net_0                      2.59174
xtie.q6                                    3.3
xtie.x_109_.z_neg                          3.3
tie_sel_hi_n_32p                   1.66615e-08
xtie.x_110_.net_0                    0.0666782
xtie.x_110_.z_neg                          3.3
tie_sel_lo_n_32n                   1.66615e-08
tie_sel_lo_n_32p                   1.07545e-08
xtie.x_111_.net_0                      3.26735
