
Note: No compatibility mode selected!


Circuit: * adc-inl-dnl @ moscap_ss_-40c_2.97v -- generated by sim/harness, do not edit

Reducing trtol to 1 for xspice 'A' devices
Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
clk                                          0
cmpclk                                       0
cmpclkb                                   2.97
vddt                                      2.97
vddd                                      2.97
vddc                                      2.97
vrefs                                     2.97
vrefn                                     2.97
vcmn                                     1.485
se_vinp                             0.00362549
se_vinn                                  1.485
se_start                                     0
se_mode                                      0
se_cmp                                 1.24826
se_samp_tp_n                                 0
se_sel_in_n                                  0
se_drdy                                   2.97
se_c9                                        0
se_c8                                        0
se_c7                                        0
se_c6                                        0
se_c5                                        0
se_c4                                        0
se_c3                                        0
se_c2                                        0
se_c1                                        0
se_c0                                        0
se_rel_n_256p                             2.97
se_sel_hi_n_256p                             0
se_sel_lo_n_256p                             0
se_rel_n_128p                             2.97
se_sel_hi_n_128p                             0
se_sel_lo_n_128p                             0
se_rel_n_64p                              2.97
se_sel_hi_n_64p                              0
se_sel_lo_n_64p                              0
se_rel_n_32p                              2.97
se_sel_hi_n_32p                              0
se_sel_lo_n_32p                              0
se_rel_n_16p                              2.97
se_sel_hi_n_16p                              0
se_sel_lo_n_16p                              0
se_rel_n_8p                               2.97
se_sel_hi_n_8p                               0
se_sel_lo_n_8p                               0
se_rel_n_4p                               2.97
se_sel_hi_n_4p                               0
se_sel_lo_n_4p                               0
se_rel_n_2p                               2.97
se_sel_hi_n_2p                               0
se_sel_lo_n_2p                               0
se_rel_n_1p                               2.97
se_sel_hi_n_1p                               0
se_sel_lo_n_1p                               0
se_rel_n_256n                             2.97
se_sel_hi_n_256n                             0
se_sel_lo_n_256n                             0
se_rel_n_128n                             2.97
se_sel_hi_n_128n                             0
se_sel_lo_n_128n                             0
se_rel_n_64n                              2.97
se_sel_hi_n_64n                              0
se_sel_lo_n_64n                              0
se_rel_n_32n                              2.97
se_sel_hi_n_32n                              0
se_sel_lo_n_32n                              0
se_rel_n_16n                              2.97
se_sel_hi_n_16n                              0
se_sel_lo_n_16n                              0
se_rel_n_8n                               2.97
se_sel_hi_n_8n                               0
se_sel_lo_n_8n                               0
se_rel_n_4n                               2.97
se_sel_hi_n_4n                               0
se_sel_lo_n_4n                               0
se_rel_n_2n                               2.97
se_sel_hi_n_2n                               0
se_sel_lo_n_2n                               0
se_rel_n_1n                               2.97
se_sel_hi_n_1n                               0
se_sel_lo_n_1n                               0
se_pinp                             0.00362549
se_pinn                                  1.485
xsetswp.gp                                2.97
se_topp                                  1.485
xsetswn.gp                                2.97
se_topn                                  1.485
xsearrp.x256.bp                          1.485
xsearrp.x256.gp_in                        2.97
xsearrp.x256.gp_rel                1.18886e-09
xsearrp.x256.gp_hi                        2.97
xsearrp.x256.gp_lo                        2.97
xsearrp.x128.bp                          1.485
xsearrp.x128.gp_in                        2.97
xsearrp.x128.gp_rel                1.18886e-09
xsearrp.x128.gp_hi                        2.97
xsearrp.x128.gp_lo                        2.97
xsearrp.x64.bp                           1.485
xsearrp.x64.gp_in                         2.97
xsearrp.x64.gp_rel                 1.18886e-09
xsearrp.x64.gp_hi                         2.97
xsearrp.x64.gp_lo                         2.97
xsearrp.x32.bp                           1.485
xsearrp.x32.gp_in                         2.97
xsearrp.x32.gp_rel                 1.18886e-09
xsearrp.x32.gp_hi                         2.97
xsearrp.x32.gp_lo                         2.97
xsearrp.x16.bp                           1.485
xsearrp.x16.gp_in                         2.97
xsearrp.x16.gp_rel                 1.18886e-09
xsearrp.x16.gp_hi                         2.97
xsearrp.x16.gp_lo                         2.97
xsearrp.x8.bp                            1.485
xsearrp.x8.gp_in                          2.97
xsearrp.x8.gp_rel                  1.18886e-09
xsearrp.x8.gp_hi                          2.97
xsearrp.x8.gp_lo                          2.97
xsearrp.x4.bp                            1.485
xsearrp.x4.gp_in                          2.97
xsearrp.x4.gp_rel                  1.18886e-09
xsearrp.x4.gp_hi                          2.97
xsearrp.x4.gp_lo                          2.97
xsearrp.x2.bp                            1.485
xsearrp.x2.gp_in                          2.97
xsearrp.x2.gp_rel                  1.18886e-09
xsearrp.x2.gp_hi                          2.97
xsearrp.x2.gp_lo                          2.97
xsearrp.x1.bp                            1.485
xsearrp.x1.gp_in                          2.97
xsearrp.x1.gp_rel                  1.18886e-09
